date,tickersymbol
2017-10-05,NTC
2017-10-05,PVC
2017-10-05,NTP
2017-10-06,ACV
2017-10-06,PVC
2017-10-06,NTC
2017-10-09,ACV
2017-10-09,DGW
2017-10-09,SBV
2017-10-10,ACV
2017-10-10,DGW
2017-10-10,PGS
2017-10-11,BHN
2017-10-11,PGS
2017-10-11,DGW
2017-10-12,BHN
2017-10-12,PGS
2017-10-12,SBV
2017-10-13,ACV
2017-10-13,BHN
2017-10-13,SBV
2017-10-16,FMC
2017-10-16,SBV
2017-10-16,NTC
2017-10-17,FMC
2017-10-17,SCS
2017-10-17,EVE
2017-10-18,SCS
2017-10-18,NTC
2017-10-18,EVE
2017-10-19,SCS
2017-10-19,APC
2017-10-19,NTC
2017-10-20,APC
2017-10-20,SCS
2017-10-20,SBV
2017-10-23,SCS
2017-10-23,SJD
2017-10-23,NTP
2017-10-24,ACV
2017-10-24,SJD
2017-10-24,NTP
2017-10-25,SJD
2017-10-25,D2D
2017-10-25,NTP
2017-10-26,SJD
2017-10-26,D2D
2017-10-26,SBV
2017-10-27,ACV
2017-10-27,SJD
2017-10-27,D2D
2017-10-30,ACV
2017-10-30,D2D
2017-10-30,SBV
2017-10-31,ACV
2017-10-31,NCT
2017-10-31,D2D
2017-11-01,ACV
2017-11-01,VIS
2017-11-01,TDG
2017-11-02,TV2
2017-11-02,ACV
2017-11-02,VIS
2017-11-03,SCS
2017-11-03,FMC
2017-11-03,ACV
2017-11-06,SCS
2017-11-06,FMC
2017-11-06,ACV
2017-11-07,CMG
2017-11-07,FMC
2017-11-07,TV2
2017-11-08,VMC
2017-11-08,ACV
2017-11-08,D2D
2017-11-09,ACV
2017-11-09,VMC
2017-11-09,D2D
2017-11-10,ACV
2017-11-10,TV2
2017-11-10,VIS
2017-11-13,CMG
2017-11-13,VIS
2017-11-13,D2D
2017-11-14,VIS
2017-11-14,NTP
2017-11-14,PVT
2017-11-15,VIS
2017-11-15,PVT
2017-11-15,CHP
2017-11-16,PVT
2017-11-16,NTP
2017-11-16,D2D
2017-11-17,VIS
2017-11-17,NTP
2017-11-17,D2D
2017-11-20,CMG
2017-11-20,VIS
2017-11-20,NCT
2017-11-21,VIS
2017-11-21,KDH
2017-11-21,NTP
2017-11-22,PVT
2017-11-22,NTP
2017-11-22,VIS
2017-11-23,DBD
2017-11-23,PVT
2017-11-23,VIS
2017-11-24,NCT
2017-11-24,VIS
2017-11-24,D2D
2017-11-27,NCT
2017-11-27,NTP
2017-11-27,DHC
2017-11-28,DHC
2017-11-28,NCT
2017-11-28,NTP
2017-11-29,DHC
2017-11-29,NTP
2017-11-29,D2D
2017-11-30,NTP
2017-11-30,DHC
2017-11-30,BHN
2017-12-01,DHC
2017-12-01,BHN
2017-12-01,D2D
2017-12-04,DHC
2017-12-04,SCS
2017-12-04,D2D
2017-12-05,SCS
2017-12-05,D2D
2017-12-05,DHC
2017-12-06,SCS
2017-12-06,D2D
2017-12-06,DHC
2017-12-07,DHC
2017-12-07,SCS
2017-12-07,D2D
